CardNumber,CardHolderFullName,CleansedCardholderName,CostCenter,MonthlyTransactionLimit,DailyTransactionLimit,SingleTransactionLimit,DailyCreditLimit,CardActivationDate,IssuedDate,EmployeeCompany,EmployeeDepartment,EmployeeID/Number,CardExpiryDate,CardCloseDate,CardStatus,CardStatusReason,CardType,ApprovedBy(ID),ApprovedBy(Name),ApprovedDate,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
2116,Employee Name151,Employee Name151,7,0,,,,,11-02-2009,,,Employee ID151,11/30/2013,11/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7791,Employee Name146,Employee Name146,4,0,,,,,1/27/2014,,,Employee ID146,1/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7825,Employee Name123,Employee Name123,7,0,,,,,11-02-2009,,,Employee ID123,11/30/2013,12-12-2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1939,Employee Name147,Employee Name147,3,0,,,,,11-02-2009,,,Employee ID147,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2421,Employee Name66,Employee Name66,8,0,,,,,10-12-2010,,,Employee ID66,10/31/2014,05-10-2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9925,Employee Name13,Employee Name13,3,0,,,,,03-10-2016,,,Employee ID13,3/31/2018,9/26/2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3209,Employee Name126,Employee Name126,3,0,,,,,2/25/2011,,,Employee ID126,2/28/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
4392,Employee Name126,Employee Name126,3,0,,,,,6/18/2013,,,Employee ID126,6/30/2019,01-03-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8728,Employee Name147,Employee Name147,3,0,,,,,12-12-2016,,,Employee ID147,12/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
8740,Employee Name94,Employee Name94,3,0,,,,,11/25/2009,,,Employee ID94,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7925,Employee Name88,Employee Name88,7,0,,,,,10/13/2011,,,Employee ID88,5/31/2017,09-05-2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9666,Employee Name62,Employee Name62,3,0,,,,,05-05-2011,,,Employee ID62,5/31/2013,11/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9222,Employee Name33,Employee Name33,8,0,,,,,11-12-2009,,,Employee ID33,11/30/2013,02-02-2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6463,Employee Name148,Employee Name148,9,0,,,,,11/17/2009,,,Employee ID148,11/30/2015,11/22/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4518,Employee Name116,Employee Name116,4,0,,,,,05-12-2017,,,Employee ID116,5/31/2019,03-06-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3440,Employee Name156,Employee Name156,2,0,,,,,02-02-2016,,,Employee ID156,2/29/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1729,Employee Name50,Employee Name50,9,0,,,,,11/21/2017,,,Employee ID50,11/30/2019,05-07-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4094,Employee Name44,Employee Name44,2,0,,,,,11/24/2015,,,Employee ID44,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7018,Employee Name83,Employee Name83,2,0,,,,,02-07-2011,,,Employee ID83,2/28/2013,4/23/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6377,Employee Name71,Employee Name71,7,0,,,,,9/16/2011,,,Employee ID71,9/30/2015,4/15/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7518,Employee Name52,Employee Name52,3,0,,,,,6/16/2015,,,Employee ID52,6/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1949,Employee Name71,Employee Name71,7,0,,,,,11-11-2009,,,Employee ID71,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6470,Employee Name142,Employee Name142,8,0,,,,,06-01-2010,,,Employee ID142,6/30/2014,8/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8518,Employee Name24,Employee Name24,9,0,,,,,7/23/2010,,,Employee ID24,7/31/2016,6/14/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2946,Employee Name97,Employee Name97,8,0,,,,,11-02-2009,,,Employee ID97,11/30/2013,01-01-2012,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
6476,Employee Name19,Employee Name19,8,0,,,,,12-11-2017,,,Employee ID19,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1323,Employee Name23,Employee Name23,8,0,,,,,12-07-2009,,,Employee ID23,12/31/2013,12/31/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7923,Employee Name125,Employee Name125,7,0,,,,,03-08-2012,,,Employee ID125,3/31/2016,08-12-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8159,Employee Name19,Employee Name19,8,0,,,,,3/14/2014,,,Employee ID19,3/31/2018,7/21/2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6308,Employee Name38,Employee Name38,2,0,,,,,12/28/2010,,,Employee ID38,12/31/2014,6/23/2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
456,Employee Name119,Employee Name119,3,0,,,,,11/25/2009,,,Employee ID119,11/30/2011,04-06-2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8121,Employee Name59,Employee Name59,2,0,,,,,06-01-2010,,,Employee ID59,6/30/2013,8/21/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9599,Employee Name149,Employee Name149,3,0,,,,,4/27/2016,,,Employee ID149,4/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1229,Employee Name23,Employee Name23,8,0,,,,,4/28/2014,,,Employee ID23,4/30/2016,1/30/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1688,Employee Name23,Employee Name23,8,0,,,,,11-02-2009,,,Employee ID23,11/30/2013,2/28/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7372,Employee Name86,Employee Name86,7,0,,,,,7/20/2017,,,Employee ID86,7/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5610,Employee Name147,Employee Name147,3,0,,,,,10/13/2011,,,Employee ID147,10/31/2013,12-04-2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1993,Employee Name73,Employee Name73,2,0,,,,,12/28/2012,,,Employee ID73,12/31/2016,1/29/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3670,Employee Name146,Employee Name146,4,0,,,,,9/17/2010,,,Employee ID146,9/30/2012,8/20/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8848,Employee Name29,Employee Name29,2,0,,,,,05-08-2017,,,Employee ID29,5/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2409,Employee Name53,Employee Name53,9,0,,,,,12-07-2009,,,Employee ID53,12/31/2013,09-10-2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6804,Employee Name92,Employee Name92,3,0,,,,,4/17/2015,,,Employee ID92,4/30/2019,5/17/2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2517,Employee Name34,Employee Name34,8,0,,,,,08-03-2018,,,Employee ID34,8/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3559,Employee Name122,Employee Name122,8,0,,,,,05-10-2017,,,Employee ID122,5/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2826,Employee Name132,Employee Name132,9,0,,,,,11/25/2009,,,Employee ID132,11/30/2013,9/16/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1375,Employee Name70,Employee Name70,9,0,,,,,2/28/2017,,,Employee ID70,2/28/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3657,Employee Name66,Employee Name66,8,0,,,,,9/26/2013,,,Employee ID66,9/30/2017,3/15/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4174,Employee Name42,Employee Name42,3,0,,,,,05-05-2017,,,Employee ID42,5/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2523,Employee Name34,Employee Name34,8,0,,,,,6/27/2012,,,Employee ID34,6/30/2014,9/27/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
572,Employee Name56,Employee Name56,8,0,,,,,11-11-2009,,,Employee ID56,11/30/2011,10/28/2010,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
5688,Employee Name151,Employee Name151,7,0,,,,,11/22/2012,,,Employee ID151,11/30/2014,03-05-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1242,Employee Name110,Employee Name110,4,0,,,,,12/17/2015,,,Employee ID110,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2488,Employee Name106,Employee Name106,8,0,,,,,11/24/2015,,,Employee ID106,11/30/2017,01-05-2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7414,Employee Name112,Employee Name112,9,0,,,,,09-10-2014,,,Employee ID112,9/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5374,Employee Name92,Employee Name92,3,0,,,,,9/30/2014,,,Employee ID92,9/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7245,Employee Name56,Employee Name56,8,0,,,,,11/13/2009,,,Employee ID56,11/30/2013,02-06-2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
701,Employee Name42,Employee Name42,3,0,,,,,11/16/2009,,,Employee ID42,11/30/2017,01-11-2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8457,Employee Name85,Employee Name85,2,0,,,,,8/15/2017,,,Employee ID85,8/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
67,Employee Name147,Employee Name147,3,0,,,,,11-12-2009,,,Employee ID147,11/30/2013,07-12-2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5048,Employee Name104,Employee Name104,8,0,,,,,3/15/2011,,,Employee ID104,3/31/2015,09-04-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8558,Employee Name52,Employee Name52,3,0,,,,,10-12-2010,,,Employee ID52,10/31/2016,4/15/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5167,Employee Name46,Employee Name46,8,0,,,,,08-05-2011,,,Employee ID46,8/31/2013,1/28/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
770,Employee Name139,Employee Name139,5,0,,,,,11/13/2009,,,Employee ID139,11/30/2013,1/28/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
31,Employee Name144,Employee Name144,4,0,,,,,11/17/2009,,,Employee ID144,11/30/2017,05-01-2017,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
7792,Employee Name94,Employee Name94,3,0,,,,,1/15/2010,,,Employee ID94,1/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6279,Employee Name127,Employee Name127,2,0,,,,,11/13/2009,,,Employee ID127,11/30/2018,09-07-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8027,Employee Name42,Employee Name42,3,0,,,,,11-12-2009,,,Employee ID42,11/30/2017,7/26/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8820,Employee Name141,Employee Name141,2,0,,,,,11-03-2010,,,Employee ID141,11/30/2016,11-10-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
